id,time,sym,timeframe,side,quantity,price,commission,pct_return (excl commission), pct_returns ( incl commission)
7777,2021-08-26 09:51:01,AMZN,2 mins>1 hour,SELL,2.0,3309.67,1.033997,0.0014130105900151957,0.0011051282710632382
7818,2021-08-26 09:53:38,GOOG,2 mins,SELL,1.0,2854.14,1.014675,-0.002404736772200211,-0.0031078311821720606
7819,2021-08-26 09:53:38,GOOG,2 mins>1 hour,SELL,2.0,2854.14,1.02935,-0.002404736772200211,-0.0027589096004920766
7882,2021-08-26 09:57:33,ATVI,2 mins,BUY,100.0,81.95,1.0,,
7903,2021-08-26 09:58:51,ATVI,2 mins,SELL,100.0,81.93,1.053684,-0.00024405125076265577,-0.0004945929721815734
7924,2021-08-26 10:00:10,AMD,2 mins,SELL,61.0,108.9,1.041138,0.010672853828306295,0.010360732002282047
2699,2021-08-26 12:56:33,AMZN,12 mins,SELL,2.0,3321.89,1.034121,0.0031466388039149695,0.0028390774976827515
2700,2021-08-26 12:56:34,AMD,4 hours,SELL,87.0,107.75,1.058162,-0.004986610028626881,-0.005204517614195492
2743,2021-08-26 12:59:27,MSFT,2 mins,BUY,31.0,300.86,1.0,,
2784,2021-08-26 13:02:15,MSFT,2 mins,SELL,31.0,300.62,1.051217,-0.0007977132220966521,-0.0010175346228314952
2785,2021-08-26 13:02:15,MSFT,12 mins,SELL,26.0,300.62,1.042956,-0.004964914603468817,-0.0052243290581101
2828,2021-08-26 13:05:09,AMD,2 mins,BUY,88.0,107.79,1.0,,
2851,2021-08-26 13:06:46,MSFT,2 mins,BUY,25.0,300.82,1.0,,
2914,2021-08-26 13:11:12,AMZN,2 mins,BUY,1.0,3324.96,1.0,,
2995,2021-08-26 13:16:52,AMD,2 mins,SELL,88.0,107.97,1.058929,0.0016699137211242387,0.0014527003579816178
3016,2021-08-26 13:18:32,AMZN,2 mins,SELL,1.0,3322.94,1.017066,-0.0006075261055772385,-0.0012138047360761295
3037,2021-08-26 13:19:46,MSFT,2 mins,SELL,25.0,300.79,1.041326,-9.972741174113509e-05,-0.00037111294289682295
3180,2021-08-26 13:29:53,AMD,2 mins,BUY,88.0,107.94,1.0,,
3201,2021-08-26 13:31:28,AMZN,1 hour,SELL,2.0,3318.43,1.034086,0.00459243292989342,0.0042838938058453735
3224,2021-08-26 13:33:05,GOOG,2 mins,BUY,2.0,2856.56,1.0,,
3247,2021-08-26 13:34:23,ATVI,2 mins,BUY,81.0,81.27,1.0,,
3250,2021-08-26 13:34:23,MSFT,2 mins,BUY,17.0,300.92,1.0,,
3293,2021-08-26 13:37:13,AMZN,2 mins,BUY,1.0,3320.69,1.0,,
3334,2021-08-26 13:40:23,GOOG,2 mins,SELL,2.0,2853.08,1.029339,-0.001218248522698584,-0.001573179947218395
3375,2021-08-26 13:43:18,MSFT,2 mins,SELL,17.0,300.92,1.028113,0.0,-0.0003963759420244628
3396,2021-08-26 13:44:29,ATVI,2 mins,SELL,81.0,81.36,1.043249,0.001107419712070845,0.0007969098721571921
3397,2021-08-26 13:44:30,AMD,2 mins,SELL,88.0,108.22,1.059041,0.0025940337224383825,0.002377013111965587
3438,2021-08-26 13:47:42,GOOG,1 hour,SELL,3.0,2851.77,1.043989,-0.00206112693602456,-0.002299280964032979
3459,2021-08-26 13:48:59,AMZN,2 mins,SELL,1.0,3321.84,1.01706,0.000346313567360923,-0.0002610297770111458
3462,2021-08-26 13:48:59,AMD,12 mins,BUY,76.0,108.1,1.0,,
3545,2021-08-26 13:55:00,AMD,2 mins,BUY,87.0,108.19,1.0,,
3568,2021-08-26 13:56:20,AMZN,2 mins,BUY,2.0,3323.55,1.0,,
3649,2021-08-26 14:02:18,AMD,2 mins,SELL,87.0,108.14,1.058335,-0.00046214992143445155,-0.0006807579090947202
3650,2021-08-26 14:02:20,AMZN,2 mins,SELL,2.0,3321.3,1.034115,-0.0006769869567179176,-0.000982854499781971
3653,2021-08-26 14:02:21,AMD,1 hour,BUY,87.0,108.15,1.0,,
3656,2021-08-26 14:02:21,AMD,12 mins>1 hour,BUY,76.0,108.15,1.0,,
8010,2021-08-27 09:58:27,AMD,1 hour,SELL,87.0,108.32,1.058415,0.0015718908922790487,0.0013529774018203877
8027,2021-08-27 10:43:09,GOOG,1 min,BUY,16.0,2866.7,1.0,,
8035,2021-08-27 10:46:42,GOOG,1 min,SELL,16.0,2862.07,1.235449,-0.0016150974988661249,-0.0016637986448125863
8041,2021-08-27 11:21:45,GOOG,15 mins,BUY,16.0,2874.51,1.0,,
8061,2021-08-27 11:33:23,GOOG,2 mins,BUY,16.0,2874.59,1.0,,
8067,2021-08-27 11:38:29,GOOG,10 mins,BUY,16.0,2875.82,1.0,,
8072,2021-08-27 11:45:40,GOOG,2 mins,SELL,16.0,2875.32,1.23653,0.00025394925885091624,0.00020531764274123177
8433,2021-08-31 09:44:22,TSLA,2 mins-extmkt,BUY,                2.0,729.74,                1.0,,
8476,2021-08-31 09:46:04,MSFT,2 mins-extmkt,BUY,                5.0,303.13,                1.0,,
8645,2021-08-31 09:53:00,TSLA,2 mins-extmkt,SELL,                2.0,730.08,                1.007685,0.0004659193685423446,-0.0009090744138913198
8706,2021-08-31 09:55:37,MSFT,2 mins-extmkt,SELL,                5.0,302.73,                1.008315,-0.0013195658628311069,-0.0026428740975176224
8891,2021-08-31 10:03:19,TSLA,2 mins-extmkt,BUY,                2.0,729.78,                1.0,,
