id,time,sym,timeframe,side,quantity,price,commission,pct_return (excl commission), pct_returns ( incl commission)
1606,2021-08-13 13:49:36,MSFT,2 mins,SELL,32.0,291.77,1.051425,-0.00010281014393431764,-0.00032247071295488094
1627,2021-08-13 13:50:44,AMD,2 mins,SELL,70.0,109.89,1.047561,-0.00036386791594655854,-0.0006298724029054625
1710,2021-08-13 13:56:50,AMD,2 mins,BUY,86.0,110.06,1.0,,
1753,2021-08-13 13:59:38,GOOG,2 mins,BUY,2.0,2767.18,1.0,,
1776,2021-08-13 14:01:18,AMZN,2 mins,BUY,2.0,3289.19,1.0,,
1799,2021-08-13 14:02:34,AMD,12 mins,BUY,77.0,110.3,1.0,,
1840,2021-08-13 14:05:22,AMD,2 mins,SELL,86.0,110.28,1.058603,0.0019989096856261046,0.0017812288192888825
1861,2021-08-13 14:06:58,GOOG,2 mins,SELL,2.0,2765.63,1.028447,-0.0005601370348151669,-0.0009264884307432775
1862,2021-08-13 14:07:00,AMZN,2 mins,SELL,2.0,3288.14,1.033777,-0.00031922753018220895,-0.0006282927874663446
1865,2021-08-13 14:07:02,MSFT,2 mins,BUY,32.0,291.86,1.0,,
1868,2021-08-13 14:07:05,MSFT,2 mins>4 hours,BUY,32.0,291.86,1.0,,
1911,2021-08-13 14:10:01,ATVI,2 mins,BUY,91.0,83.92,0.0,,
1954,2021-08-13 14:12:51,AMZN,2 mins,BUY,1.0,3289.86,1.0,,
1955,2021-08-13 14:12:53,MSFT,2 mins,SELL,32.0,291.84,1.051436,-6.852600561924049e-05,-0.000288146270229217
1956,2021-08-13 14:12:55,MSFT,2 mins>4 hours,SELL,32.0,291.84,1.051436,-6.852600561924049e-05,-0.000288146270229217
1977,2021-08-13 14:14:25,MSFT,12 mins,SELL,18.0,291.74,1.028924,0.00037719027534888205,-9.31825367511685e-06
2018,2021-08-13 14:17:21,AMZN,2 mins,SELL,1.0,3289.66,1.016896,-6.0792860486547085e-05,-0.000673652479899034
2059,2021-08-13 14:20:10,ATVI,2 mins,SELL,91.0,83.96,1.049795,0.0004766444232602307,0.0003391776836128013
2062,2021-08-13 14:20:14,AMZN,2 mins,BUY,2.0,3290.28,1.0,,
2065,2021-08-13 14:20:16,MSFT,2 mins,BUY,28.0,291.83,1.0,,
2068,2021-08-13 14:20:18,MSFT,2 mins>4 hours,BUY,32.0,291.83,1.0,,
2089,2021-08-13 14:21:45,AMZN,2 mins,SELL,2.0,3289.19,1.033788,-0.0003312787969413922,-0.0006402415232862335
2110,2021-08-13 14:23:24,MSFT,2 mins>4 hours,SELL,32.0,291.75,1.051422,-0.0002741322002535185,-0.0004937515257678049
2131,2021-08-13 14:24:42,MSFT,2 mins,SELL,28.0,291.74,1.044992,-0.0003083987252852083,-0.000558597398020555
2174,2021-08-13 14:27:30,AMD,2 mins,BUY,85.0,110.19,1.0,,
2197,2021-08-13 14:29:06,MSFT,2 mins,BUY,26.0,291.82,1.0,,
