.id,time,sym,parameters,side,quantity,price,                    commission,pct_return (excl commission), pct_returns ( incl commission)
6138dd5954cd6452ca477fc3,2021-09-08 11:57:13,NVDA,tsrh_dc-2m_emkt_pog,sell,5.342276217,220.61,0,0.001270821041165604,0.001270821041165604
6138de4b54cd6452ca477fc5,2021-09-08 12:01:15,AAPL,tsrh_dc-2m_emkt_pog,buy,9.160089943,154.23,0,,
6138de4c54cd6452ca477fc7,2021-09-08 12:01:16,NVDA,tsrh_dc-2m_emkt_pog,buy,5.18902709,220.53,0,,
6138de518cd72c1da2283ce9,2021-09-08 12:01:21,GOOG,tsrh_dc-2m_emkt_pog,buy,0.267716224,2885.245,0,,
6138de8d54cd6452ca477fc9,2021-09-08 12:02:21,NVDA,tsrh_dc-2m_emkt_pog,sell,5.18902709,221.26,0,0.0033102072280415396,0.0033102072280415396
6138ded954cd6452ca477fcb,2021-09-08 12:03:37,AAPL,tsrh_dc-2m_emkt_pog,sell,9.160089943,154.39,0,0.0010374116579134895,0.0010374116579134895
6138df418cd72c1da2283ceb,2021-09-08 12:05:21,GOOG,tsrh_dc-2m_emkt_pog,sell,0.267716224,2885.255,0,3.46591017397202e-06,3.46591017397202e-06
6138e1178cd72c1da2283ced,2021-09-08 12:13:11,AMD,tsrh_dc-2m_emkt_pog,buy,8.786165704,106.25,0,,
6138e1178cd72c1da2283cef,2021-09-08 12:13:11,MSFT,tsrh_dc-2m_emkt_pog,buy,2.630733494,298.67,0,,
6138e15254cd6452ca477fcd,2021-09-08 12:14:10,NVDA,tsrh_dc-2m_emkt_pog,buy,3.566003345,222.54,0,,
6138e21454cd6452ca477fcf,2021-09-08 12:17:24,AAPL,tsrh_dc-2m_emkt_pog,buy,4.15459211,154.72,0,,
6138e2b654cd6452ca477fd1,2021-09-08 12:20:06,TSLA,tsrh_dc-2m_emkt_pog,buy,0.697589402,746.38,0,,
6138e3478cd72c1da2283cf1,2021-09-08 12:22:31,GOOG,tsrh_dc-2m_emkt_pog,buy,0.12152072,2892.1,0,,
6138e3df54cd6452ca477fd3,2021-09-08 12:25:03,MSFT,tsrh_dc-2m_emkt_pog,sell,2.630733494,298.93,0,0.0008705259985937186,0.0008705259985937186
