time,sym,side,quantity,price
2021-08-10 13:30:32,AMZN,BUY,2.0,3321.57
2021-08-10 13:30:34,MSFT,BUY,28.0,285.53
2021-08-10 13:45:35,ATVI,BUY,80.0,83.28
2021-08-10 13:48:18,GOOG,BUY,1.0,2766.5
2021-08-10 13:53:34,GOOG,SELL,1.0,2766.43
2021-08-10 13:59:36,GOOG,BUY,1.0,2768.57
2021-08-10 14:01:31,GOOG,SELL,1.0,2767.19
2021-08-10 14:26:29,AMZN,SELL,2.0,3317.11
2021-08-10 14:30:48,MSFT,SELL,28.0,285.97
2021-08-11 11:02:04,AMD,BUY,88.0,106.61
